name,score,developer,publisher,owners,players_forever,players_2weeks,score_ratio(+to-),days_since_sale,average_days_per_sale,average_days_per_sale_variance
Spacetours VR - Ep1 The Solar System,23,Vibrant Visuals - Christian KlÌ¦tzel,Vibrant Visuals - Christian KlÌ¦tzel,1050,785,0,2,107,58.25,19.14
,,,,,,,,,,
Mystic Towers,40,Animation F/X,3D Realms (Apogee Software),66213,3128,0,3.5,226,503,0
,,,,,,,,,,
VRSailing by BeTomorrow,67,BeTomorrow,BeTomorrow,17329,11028,0,7.8,-1,0,-1
,,,,,,,,,,
Danmaku Unlimited 3,71,Doragon Entertainment,Doragon Entertainment,4953,4171,781,8.7,49,58.5,7.56
,,,,,,,,,,
Monkey Tales Games,23,Larian Studios,Larian Studios,1050,1176,0,2,410,190.5,7098.06
,,,,,,,,,,
Ballad of Solar,65,Alawar,Buka Entertainment,12603,9190,785,7,43,50.31,17.46
,,,,,,,,,,
Foosball: World Tour,40,"Grip Games, 3Division",Grip Games,13653,5251,0,3.35,48,49.8,6.94
,,,,,,,,,,
STAR WARS X-Wing vs TIE Fighter - Balance of Power Campaigns,31,Totally Games,"LucasArts, Lucasfilm, Disney Interactive",288055,57090,1172,2.67,56,137,782.29
,,,,,,,,,,
Runic Rampage - Action RPG,86,Electrocosmos,Electrocosmos,2346,1303,1171,14.67,13,42.17,2.89
,,,,,,,,,,
Extreme Real Reality HD Remix,,Step Dad Productions,Step Dad Productions,3551,795,0,0,43,85,0
,,,,,,,,,,
VRZ: Torment,35,StormBringer Studios,StormBringer Studios,7299,3910,0,2.92,12,86.29,134.77
,,,,,,,,,,
Quadrablaze,,YounGen Tech,YounGen Tech,2346,0,0,0,-1,0,-1
,,,,,,,,,,
The Guild 3,9,GolemLabs,THQ Nordic,40960,39910,3413,1.01,-1,0,-1
,,,,,,,,,,
Yu-Gi-Oh! Duel Links,56,Konami Digital Entertainment,Konami Digital Entertainment,1084137,892201,272019,5.37,-1,0,-1
,,,,,,,,,,
Konrad the Rocket,,Leonardo Alexandrino,Leonardo Alexandrino,795,0,0,0,12,52.5,105.12
,,,,,,,,,,
Leviathan: The Last Day of the Decade,56,Lostwood,Lostwood,61966,37547,1589,5.29,32,49.74,15.27
,,,,,,,,,,
PixelJunk Nom Nom Galaxy,31,Q-Games Ltd.,Q-Games Ltd.,75619,54351,1575,2.69,49,71.39,0.38
,,,,,,,,,,
F-1 drive,,Dima Kiva,Dima Kiva,1838,1313,0,3.5,-1,0,-1
,,,,,,,,,,
Catch Me,44,ZuoBuLaiGame,ZuoBuLaiGame,28357,23368,795,3.98,79,89.17,0.78
,,,,,,,,,,
Oriental Empires,44,Shining Pixel Studios,Iceberg Interactive,46212,42798,3413,3.86,42,50.67,19.75
,,,,,,,,,,
Skyling: Garden Defense,,"Mighty Studios, LLC","Mighty Studios, LLC",789,0,0,0,361,0,-1
,,,,,,,,,,
Batman: Arkham City - Game of the Year Edition,92,"Rocksteady Studios, Feral Interactive (Mac)","Warner Bros. Interactive Entertainment, Feral Interactive (Mac)",3641480,2116485,32325,22.85,43,48.15,18.02
,,,,,,,,,,
Townsmen,30,HandyGames,Headup Games,19430,14704,0,2.48,144,72.75,147.02
,,,,,,,,,,
Duel VR,,Booster Space,Greenlight Games,785,785,0,0,231,60,0
,,,,,,,,,,
YBit,,"Facundo Balboa, IvÌÁn Piccione, MartÌ_n DÌ_az",Facundo Balboa,1974,785,0,0,108,0,-1
,,,,,,,,,,
PERFECT ANGLE: The puzzle game based on optical illusions,44,Ivanovich Games,Ivanovich Games,73256,57502,785,3.81,95,97.71,1074.2
,,,,,,,,,,
Fractal: Make Blooms Not War,37,Cipher Prime Studios,Cipher Prime Studios,207428,72206,0,3.12,80,166.23,201.89
,,,,,,,,,,
Watch Out,,Noctecraft Entertainment,Noctecraft Entertainment,790,785,0,0,-1,0,-1
,,,,,,,,,,
Zumbi Blocks,,"Rakarnov Studios, Adrianks47",Rakarnov Studios,1575,1575,0,0,-1,0,-1
,,,,,,,,,,
Stationeers,62,RocketWerkz,RocketWerkz,22940,22419,9906,6.57,58,0,-1
,,,,,,,,,,
Bacteria,13,Sometimes You,Sometimes You,239723,202701,2101,1.28,108,53,26.27
,,,,,,,,,,
Spy Bugs,31,Digital Soul Games,TheGameWall Studios,8665,2762,0,2.67,-1,0,-1
,,,,,,,,,,
Anguished,4,Forrest Keel,Forrest Keel,1184,784,0,0.67,464,0,-1
,,,,,,,,,,
Stock Car Extreme,71,Reiza Studios,Reiza Studios,27307,23631,1568,8.2,44,55.39,17.23
,,,,,,,,,,
WayOut 2: Hex,86,Konstructors Entertainment,"Konstructors Entertainment, GrabTheGames",25994,12603,0,13.62,20,47.86,0.1
,,,,,,,,,,
Stereo Aereo,47,The Stonebot Studio,Indietopia Games,2607,1043,1171,4,79,172.5,276.12
,,,,,,,,,,
Fantasia of the Wind - ,92,Fantasia Studio,Fantasia Studio,2101,1184,0,23.5,44,56,0
,,,,,,,,,,
HALP!,25,Fun Bits,Fun Bits,41223,13391,0,2.14,-1,0,-1
,,,,,,,,,,
The Knobbly Crook: Chapter I - The Horse You Sailed In On,74,Gnarled Scar Manipulations,Gnarled Scar Manipulations,90060,23106,0,9.53,-1,0,-1
,,,,,,,,,,
Eraser & Builder,,"CFK Co., Ltd.","CFK Co., Ltd.",790,795,0,0,108,242,0
,,,,,,,,,,
Chunky Orbits,74,Don Whitaker,Brain Blinks,2368,1973,0,10,107,39.5,38.02
,,,,,,,,,,
Let Them Come,65,Tuatara Games,Versus Evil,4171,3910,1570,7.29,43,39.5,66.12
,,,,,,,,,,
Avorion,74,Boxelware,Boxelware,138162,129559,12773,9.05,43,183,0
,,,,,,,,,,
Fear Equation,53,Screwfly Studios,Screwfly Studios,13128,8140,0,5.2,79,75.11,301.73
,,,,,,,,,,
Spiny Adventures,16,Brzezinski,SIFAKA DIGITAL,4726,2888,789,1.5,108,0,-1
,,,,,,,,,,
8BitMMO,14,Archive Entertainment,Archive Entertainment,926860,567406,2353,1.42,-1,0,-1
,,,,,,,,,,
Solstice,37,MoaCube,MoaCube,102401,17329,785,3.04,42,63.7,1697.81
,,,,,,,,,,
Bloody Streets,56,Headless Wizard,Headless Wizard,23461,15380,0,5.62,12,87.67,1.56
,,,,,,,,,,
Crazy Machines 1.5,,Fakt Software,Viva Media,44374,6564,0,0,-1,0,-1
,,,,,,,,,,
Captivity,6,Trauma,New Worlds Games,41709,39884,0,0.85,108,74.6,0.07
,,,,,,,,,,
Time of Fury,21,Wastelands Interactive,Slitherine Ltd.,6827,2888,0,1.78,108,108.73,45.1
,,,,,,,,,,
Queen's Tales: The Beast and the Nightingale Collector's Edition,,ERS G Studios,Big Fish Games,795,0,0,0,231,0,-1
,,,,,,,,,,
Zorbit's Orbits,,Happyrock Studios,New Reality Games,74816,778,778,0,26,34.5,153.12
,,,,,,,,,,
Medieval II: Total War,92,"The Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",2103421,1508707,90060,21.92,43,47.19,18.74
,,,,,,,,,,
Life is Feudal: MMO,5,Bitbox Ltd.,Bitbox Ltd.,440324,53826,35446,0.74,-1,0,-1
,,,,,,,,,,
"Happy Birthday, Bernard",,Olly Whillans,Olly Whillans,795,0,0,0,231,101,0
,,,,,,,,,,
Small Town Terrors: Galdor's Bluff Collector's Edition,100,Alawar,Viva Media,3676,785,0,5,106,76.88,14.78
,,,,,,,,,,
Mad Dojo,,phime studio LLC,phime studio LLC,5214,3910,0,0,79,92,363
,,,,,,,,,,
Realms of Arkania: Blade of Destiny,11,Crafty Studios,United Independent Entertainment GmbH,94524,26782,790,1.14,226,132,17.82
,,,,,,,,,,
FoxyLand,42,BUG-Studio,OraMonkey,4464,1050,795,3.75,80,37,0
,,,,,,,,,,
UnReal World,95,"Sami Maaranen (creator), Erkka Lehmus (co-designer)",Enormous Elk,18642,16804,1313,28.94,42,110.5,5985.04
,,,,,,,,,,
Xsyon - Prelude,35,Notorious Games,Notorious Games,6564,5776,0,2.95,79,55.84,3.24
,,,,,,,,,,
Beyond Reality,99,EternalShadow Studios,Aldorlea Games,7877,4726,0,67,21,56.38,57.69
,,,,,,,,,,
Castlevania: Lords of Shadow  Mirror of Fate HD,51,MercurySteam,Konami Digital Entertainment,113658,63867,1043,4.59,43,80.35,2.6
,,,,,,,,,,
Mysterious Castle,,OpenXcell Studio,OpenXcell Studio,1575,789,0,0.25,686,0,-1
,,,,,,,,,,
F.E.A.R. Online,,InPlay Interactive,Aeria Games Europe,1001166,452665,0,0.69,-1,0,-1
,,,,,,,,,,
Boo Breakers: The Ghostening,100,Rank17,Rank17,781,785,0,6,226,81.33,166.26
,,,,,,,,,,
Viking Escape,4,Viktor Pekar,Viktor Pekar,788,784,0,0.67,413,0,-1
,,,,,,,,,,
Hieroglyphika,28,M. Hanka,Liu Lidan,6302,3938,0,2.44,17,60.33,327.26
,,,,,,,,,,
- Arcane preRaise -,1,Arcane Raise,ArcaneRaise,115792,111591,1589,0.42,95,48.33,197.37
,,,,,,,,,,
Bear Football,,Hero Game,Hero Game,1570,0,0,0,108,40,0
,,,,,,,,,,
The Sexy Brutale,89,"Cavalier Game Studios, Tequila Works",Tequila Works,196662,69055,4464,16.16,43,66,64
,,,,,,,,,,
The Last Door: Season 2 - Collector's Edition,89,The Game Kitchen,Phoenix Online Publishing,48837,18905,1176,18.85,42,66.36,30.66
,,,,,,,,,,
Shadow Warrior Classic (1997),89,3D Realms,Devolver Digital,735387,281798,2868,18.88,-1,0,-1
,,,,,,,,,,
Ant-gravity: Tiny's Adventure,,SharkByte Studio,SharkByte Studio,3910,3128,784,0,80,85.5,1173.06
,,,,,,,,,,
Zombie Zoeds,1,Mystic Games,Mystic Games,256512,188734,781,0.41,141,46.94,31.85
,,,,,,,,,,
Californium,30,"Darjeeling, Nova Production","ARTE France, Neko Entertainment",16804,4726,0,2.53,410,310,0
,,,,,,,,,,
Shadow Warrior 2,67,Flying Wild Hog,Devolver Digital,344884,314123,9385,7.86,43,43.09,137.63
,,,,,,,,,,
The Promised Land,56,"Boolat Games, Alawar Entertainment",Buka Entertainment,28882,23894,789,5.35,42,46.03,2.77
,,,,,,,,,,
Ninja Senki DX,49,Tribute Games Inc.,Tribute Games Inc.,4171,3137,784,4.5,82,97.75,415.14
,,,,,,,,,,
Princess Sahirah is a Spoiled Brat!,,Corey Wurts,Corey Wurts,790,0,0,0,110,61,0
,,,,,,,,,,
City of Steam: Arkadia,16,Mechanist Games,Mechanist Games,350526,134959,0,1.55,-1,0,-1
,,,,,,,,,,
Journey of a Roach,67,"Koboldgames, Daedalic Entertainment",Daedalic Entertainment,167517,73781,789,7.61,42,47.03,18.05
,,,,,,,,,,
Golden Rush,6,Forbes Consult Ltd,ELYLAND  INVESTMENT COMPANY Ltd,221869,145462,1050,0.8,-1,0,-1
,,,,,,,,,,
Corrosion: Cold Winter Waiting [Enhanced Edition],28,Viperante,Viperante,43061,23631,0,2.33,12,72.77,5.92
,,,,,,,,,,
Walking Heavy,,GO Studio,GO Studio,1589,795,0,0,-1,0,-1
,,,,,,,,,,
Satellite Repairman,44,Nuno Donato,Nuno Donato,9645,8081,0,3.8,45,55.33,18.96
,,,,,,,,,,
Super Man Or Monster,95,Xform,Xform,1184,1589,0,29,42,25,18
,,,,,,,,,,
Fallalypse,13,hede,hede,1570,785,0,1.31,108,0,-1
,,,,,,,,,,
Seraph,65,Dreadbit,Dreadbit,28936,16684,0,7.11,45,86.14,529.08
,,,,,,,,,,
Moonatees,,Fungi In The Basement,Fungi In The Basement,3413,790,0,0,-1,0,-1
,,,,,,,,,,
My Lands: Black Gem Hunting,62,"Gravvit Ltd, Forbes  Consult Ltd",ELYLAND  INVESTMENT COMPANY Ltd,345538,171456,1569,6.28,-1,0,-1
,,,,,,,,,,
Rugby League Live 4,9,Big Ant Studios,Tru Blu Games,790,790,0,1,-1,0,-1
,,,,,,,,,,
XBlaze Lost: Memories,39,Arc System Works,Aksys Games,1313,0,0,3.33,43,101.8,207.37
,,,,,,,,,,
Tank Assault X,,Starwind Games,Starwind Games,31543,30500,781,0,12,42.71,231.85
,,,,,,,,,,
NBA 2KVR Experience,0,Specular Interactive,2K,1050,784,0,0.17,164,41.5,198.38
,,,,,,,,,,
Blueberry Garden,40,Erik SvedÌ_ng,Erik SvedÌ_ng,48312,31508,0,3.5,773,227.88,198.75
,,,,,,,,,,
Usagi Yojimbo: Way of the Ronin,3,HappyGiant,HappyGiant,5214,1043,0,0.6,1105,0,-1
,,,,,,,,,,
Age of Wonders III,49,Triumph Studios,Paradox Interactive,649327,589199,21005,4.4,43,47.3,69.43
,,,,,,,,,,
Heart&Slash,51,AHEARTFULOFGAMES,Badland Games,14598,10688,0,4.84,43,97.58,27592.03
,,,,,,,,,,
Alchemage,62,Arupaca Laboratories,Xiqi Game,3128,3128,784,6.14,146,0,-1
,,,,,,,,,,
CrossCode,95,Radical Fish Games,"Deck13, WhisperGames, DANGEN Entertainment, Mayflower Entertainment",116317,69843,2888,32.25,43,43.14,10.41
,,,,,,,,,,
Naval Warfare,11,Game Distillery s.r.o.,Immanitas Entertainment GmbH,120957,32585,0,1.15,232,115,353.89
,,,,,,,,,,
INTERSHELTER,31,Eforb,Eforb,58290,42798,1568,2.68,396,11,0
,,,,,,,,,,
Dinosaur Hunt First Blood,2,Racing Bros,ANPA.US,12773,2868,1171,0.48,85,31.5,66.12
,,,,,,,,,,
Luxuria Superbia,31,Tale of Tales,Tale of Tales,39102,9645,0,2.65,42,109.38,180.08
,,,,,,,,,,
Wargame: European Escalation,40,Eugen Systems,Focus Home Interactive,828135,505178,4989,3.44,26,42.04,35.21
,,,,,,,,,,
Sword of the Stars: The Pit,65,Kerberos Productions Inc.,Kerberos Productions Inc.,231846,169355,784,6.74,1328,66.57,29.74
,,,,,,,,,,
Prompt,100,Peter Gutenko,Peter Gutenko,3413,1050,0,24,43,122.17,992.45
,,,,,,,,,,
Shallow Space,3,Special Circumstances,Special Circumstances,12603,8665,0,0.53,226,55.82,35.71
,,,,,,,,,,
Silent Hunter: Wolves of the Pacific,22,Ubisoft Romania,Ubisoft,91898,70105,1838,1.91,226,91.23,313.14
,,,,,,,,,,
Warspear Online,25,AIGRIND,AIGRIND,125507,113691,14441,2.16,-1,0,-1
,,,,,,,,,,
Momonga Pinball Adventures,17,"Paladin Studios, Seaven Studio",Plug In Digital,2363,1838,0,1.57,49,66.71,5.64
,,,,,,,,,,
TIMEframe,25,Random Seed Games,Random Seed Games,108440,24156,0,2.15,43,81.55,0.22
,,,,,,,,,,
Finding Teddy,53,Storybird,"LookAtMyGame, Plug In Digital",122356,64591,2101,5.21,42,86.69,33.97
,,,,,,,,,,
Epic Cards Battle 2-Dragons Rising(TCG),24,momoStorm Entertainment,momoStorm Entertainment,13391,7877,0,2.05,-1,0,-1
,,,,,,,,,,
The Binding of Isaac,92,Edmund McMillen and Florian Himsl,Edmund McMillen,3133409,2803906,49530,23.57,73,52.35,0.31
,,,,,,,,,,
Lamp Head,39,Oriplay,"Cristian Manolachi, Atomic Fabrik",28357,23368,1575,3.2,108,74.5,0.12
,,,,,,,,,,
Corto Maltese - Secrets of Venice,1,Kids up hill,"BulkyPix, Plug In Digital",8927,6302,784,0.32,735,69,342.25
,,,,,,,,,,
Quell Memento,97,Fallen Tree Games Ltd,Green Man Gaming Publishing,17592,1575,0,34.5,79,72.7,149.77
,,,,,,,,,,
Don't Feed,28,Ravinia,Ravinia,2888,1973,0,2.4,-1,0,-1
,,,,,,,,,,
Lunnye Devitsy,22,Boss Baddie,Boss Baddie,49625,28095,795,1.91,-1,0,-1
,,,,,,,,,,
Blackwell Unbound,86,Wadjet Eye Games,Wadjet Eye Games,125244,42798,785,15.2,42,86.64,348.64
,,,,,,,,,,
Four Horsemen,,Nuclear Fishin' Software,Nuclear Fishin' Software,795,0,0,0,80,32,0
,,,,,,,,,,
Rogue Stormers,30,Black Forest Games,"Black Forest Games, THQ Nordic",70645,52137,1303,2.52,130,59.21,0.03
,,,,,,,,,,
Bionic Commando,30,Capcom,Capcom,242957,70124,1569,2.57,79,101.04,338.85
,,,,,,,,,,
Zombies Monsters Robots (ZMR),22,"Yingpei Games, En Masse Entertainment",En Masse Entertainment,823497,459063,784,1.91,-1,0,-1
,,,,,,,,,,
Super Mustache,33,Redro Games,Back To Basics Gaming,486956,338106,2868,2.79,23,59.33,202.81
,,,,,,,,,,
Galactic Keep,,Gilded Skull Games,Gilded Skull Games,1838,1313,0,0,44,66.75,66.02
,,,,,,,,,,
Death Penalty: Beginning,0,"VI GAMES LLC, Ivan Buderkrvych",VI GAMES LLC,97937,8140,0,0.21,382,10,32
,,,,,,,,,,
Spheria,100,Daydream Software,,1575,784,0,2,443,238,0
,,,,,,,,,,
Left 4 Dead,92,Valve,Valve,5775431,3547113,45098,19.07,43,41.05,5.67
,,,,,,,,,,
Adjacency,,sleepy macaw,sleepy macaw,1589,0,0,0,52,97.5,2701.12
,,,,,,,,,,
Space Run Galaxy,21,Passtech Games,Focus Home Interactive,221606,72731,1184,1.8,79,66.62,34.55
,,,,,,,,,,
The Settlers: Rise Of An Empire Gold Edition,28,Blue Byte,Ubisoft,58552,51200,1575,2.34,79,100.8,96.83
,,,,,,,,,,
Protagon VR,,Digital Eel,Digital Eel,1838,0,0,0,169,0,-1
,,,,,,,,,,
"Warhammer 40,000: Dawn of War - Soulstorm",89,Relic Entertainment,SEGA,1175773,693176,31508,17.66,43,51.04,0.31
,,,,,,,,,,
Archery Practice VR,1,Virtual Rage Studios LLC,Virtual Rage Studios LLC,12773,9385,0,0.32,108,52.2,1.57
,,,,,,,,,,
Unstoppable Hamster,100,IndieLip,IndieLip,2888,0,0,10,16,0,-1
,,,,,,,,,,
Hyper Light Drifter,89,Heart Machine,Heart Machine,594096,471054,19812,16.21,24,59.91,1311.08
,,,,,,,,,,
Pyro VR,39,Virtual Light VR,Virtual Light VR,784,784,0,3.2,227,0,-1
,,,,,,,,,,
One Strike,100,Retro Reactor,Retro Reactor,785,785,785,36,98,0,-1
,,,,,,,,,,
Ski Sport: Jumping VR,2,Ramotion Inc.,Ramotion Inc.,795,0,0,0.5,-1,0,-1
,,,,,,,,,,
DRAGON QUEST HEROES II,30,"Square Enix, KOEI TECMO GAMES CO., LTD.",Square Enix,25286,22419,2333,2.55,44,91,32
,,,,,,,,,,
MidBoss,65,Kitsune Games,Kitsune Games,5251,4726,790,6.84,12,34,115.2
,,,,,,,,,,
Mage Guard: The Last Grimoire,,Hashbang Games,Hashbang Games,781,785,0,0,-1,0,-1
,,,,,,,,,,
The Frost,,Tephra Company,Tephra,5776,788,785,0,108,116,0
,,,,,,,,,,
Sam & Max 203: Night of the Raving Dead,82,Telltale Games,Telltale Games,267293,28620,0,12,-1,0,-1
,,,,,,,,,,
The Melody of Dust,,Viacom NEXT,Viacom NEXT,795,0,0,0,232,79,0
,,,,,,,,,,
Gateways,82,Smudged Cat Games Ltd,Smudged Cat Games Ltd,53564,15754,784,12.83,42,128.13,233.12
,,,,,,,,,,
Crazy Otto,37,Extend Mode,Extend Mode,3178,2384,0,3,79,112.33,2010.7
,,,,,,,,,,
Xmas Shooting - Scramble!!,67,Orange_Juice,Fruitbat Factory,8603,4171,0,8,12,51,338
,,,,,,,,,,
Lowglow,86,Rockodile,Rockodile,107127,82183,795,15.29,69,48.73,55.04
,,,,,,,,,,
Throne Rushers,6,Dynow Studio,Dynow Studio,1953,0,0,0.8,410,0,-1
,,,,,,,,,,
,,Zhongshan Xinglong Animation Technology Co. Ltd.,Zhongshan Xinglong Animation Technology Co. Ltd.,795,0,0,0,14,0,-1
,,,,,,,,,,
Run Away,2,bch waves studio,bch waves studio,240774,228695,6564,0.45,108,86,648
,,,,,,,,,,
Niche - a genetics survival game,74,Stray Fawn Studio,Stray Fawn Studio,71681,68267,4989,9.07,140,0,-1
,,,,,,,,,,
ZAMBI 2 KIL,7,BunchOD00dz,ArcaneRaise,7614,1184,0,0.86,95,31.5,253.12
,,,,,,,,,,
EMPORIUM,27,Tom Kitchen,Tom Kitchen,5514,2888,0,2.31,108,62,32
,,,,,,,,,,
Apartment 666,2,I Need Play,I Need Play,166055,144940,11731,0.51,413,37,324
,,,,,,,,,,
The Slingshot VR,2,Funny Twins,Funny Twins,3157,2762,784,0.5,108,76,228.17
,,,,,,,,,,
Until the last,,Viron Shake,Viron Shake,795,0,0,0,108,47,0
,,,,,,,,,,
Microsoft Allegiance,39,Microsoft Game Studios,ZapHop Games,28357,16542,1578,3.32,-1,0,-1
,,,,,,,,,,
Cartesian,95,BetaShark LLC,BetaShark LLC,4989,1961,0,28,-1,0,-1
,,,,,,,,,,
Sling Ming,,Good Night Brave Warrior,Good Night Brave Warrior,795,795,0,0,-1,0,-1
,,,,,,,,,,
Carpe Lucem - Seize The Light VR,71,Hammer Labs,Application Systems Heidelberg,1575,1176,0,8.75,31,57.36,334.25
,,,,,,,,,,
Samudai,13,Geek Sloth Games,Geek Sloth Games,23201,13556,0,1.28,108,244,4692.25
,,,,,,,,,,
flChess,56,Flying. Stone. Production,Atriagames,7614,2626,0,5.29,44,54.25,2340.14
,,,,,,,,,,
BitMaster,31,Vladimir Shlapak,Sometimes You,184824,169183,3137,2.69,110,63.33,68.91
,,,,,,,,,,
Red Number: Prologue,,TheBlavas,TheBlavas,19551,0,0,0,179,0,-1
,,,,,,,,,,
Son of Scoregasm,,R C Knight,Charlie's Games,789,795,0,0,71,0,-1
,,,,,,,,,,
Damned Nation Reborn,1,Sinister,Sinister,9190,2363,0,0.37,857,58.5,14.06
,,,,,,,,,,
The Logomancer,40,"Jeffrey Nordin, Justin Nordin",Jeffrey Nordin,6564,4201,0,3.5,735,0,-1
,,,,,,,,,,
Geneforge 2,82,Spiderweb Software,Spiderweb Software,103976,7877,0,13,-1,0,-1
,,,,,,,,,,
O'Fox Life,,O'Stinky lab.,O'Stinky lab.,8140,3924,2354,0,101,0,-1
,,,,,,,,,,
Sir! I'd Like To Report A Bug!,18,Lord Puggington Games,Lord Puggington Games,4432,3389,778,1.67,231,88.14,359.19
,,,,,,,,,,
Virtual Rides 3 - Funfair Simulator,33,Zeichenkraftwerk Jeutter & Schaller GbR,2tainment GmbH,5251,4989,1184,2.84,79,64.25,1.89
,,,,,,,,,,
Cross Set,62,Cuveet Story,Cuveet Story,12341,7352,0,6.25,28,47.31,25.79
,,,,,,,,,,
Monster Maze VR,40,4 Fun Studio,4 Fun Studio,4201,789,0,3.4,106,90.5,885.06
,,,,,,,,,,
Memories of a Vagabond,51,DarkElite,DarkElite,412755,262829,4464,4.87,110,75.38,1.81
,,,,,,,,,,
Bus Driver,27,SCS Software,SCS Software,357878,163316,1050,2.33,25,65.95,119.81
,,,,,,,,,,
MilitAnt,42,Xibalba Studios,Xibalba Studios,1564,1562,0,3.57,231,120.5,1770.12
,,,,,,,,,,
Darwin's Demons,100,Polymorphic Games,"Polymorphic Games, University of Idaho",1184,1184,0,24,43,62.33,1309.04
,,,,,,,,,,
The Dig,86,LucasArts,LucasArts,152289,67217,0,13.32,42,141.67,119.27
,,,,,,,,,,
Chronicon,92,Subworld,Subworld,30239,27372,1176,21.62,43,97.22,297.88
,,,,,,,,,,
Deep Black: Reloaded,1,Biart,Strategy First,13295,6517,0,0.35,108,54.49,25.16
,,,,,,,,,,
Death Toll,,DigitalDNA Games LLC,DigitalDNA Games LLC,2868,1043,0,0,-1,0,-1
,,,,,,,,,,
Penarium,62,Self Made Miracle,Team17 Digital Ltd,86025,27893,784,6.14,48,63.54,54.18
,,,,,,,,,,
Santa's Special Delivery,100,"Drunk Robot Games, Effinvance",Cerulean Games,4432,3650,0,8,80,172.5,276.12
,,,,,,,,,,
Majesty Gold HD,89,Cyberlore,Paradox Interactive,157540,51200,1589,16.53,42,72.8,385.78
,,,,,,,,,,
No70: Eye of Basir,19,Oldmoustache Gameworks,Artcom FZC,2101,1575,0,1.71,89,44,161.33
,,,,,,,,,,
Galaxis Wars,,Clear Ink Studios,Clear Ink Studios,2363,784,0,0,145,51,264.5
,,,,,,,,,,
Weather Lord: Hidden Realm,,"Yustas Game Studio, Alawar Entertainment",Buka Entertainment,795,0,0,0,108,0,-1
,,,,,,,,,,
Lucius II,15,Shiver Games,Shiver Games,153021,72731,3128,1.45,108,47,171.43
,,,,,,,,,,
Radical Spectrum: Volume 2,,Autonomic Interactive,New Reality Games,74816,781,0,0,15,77.5,15.12
,,,,,,,,,,
Tales of Legends,11,singi, singi,40698,29670,1184,1.2,101,53,16.2
,,,,,,,,,,
Spareware,59,Rusto,Rusto,4692,3910,0,6,69,68.4,84.87
,,,,,,,,,,
Party Panic,31,Everglow Interactive Inc.,Everglow Interactive Inc.,50572,45880,6517,2.69,43,64.12,27.66
,,,,,,,,,,
Big Brain Wolf,13,Frima,Frima,28357,13128,0,1.34,231,84.21,7.97
,,,,,,,,,,
Ladra,39,Is Future Bright,Black Shell Media,25026,2607,0,3.33,226,65.56,72.57
,,,,,,,,,,
Divine Souls F2P MMO,8,GamePrix,Suba Games,571082,260729,1838,0.96,-1,0,-1
,,,,,,,,,,
In Game Adventure: Legend of Monsters,47,Alysson Moraes,Moraes Studio,15641,1825,785,4.21,18,49.75,50.77
,,,,,,,,,,
Deponia Doomsday,67,Daedalic Entertainment,Daedalic Entertainment,209528,98462,3938,7.67,25,42.25,448.91
,,,,,,,,,,
Wimp: Who Stole My Pants?,49,FlexileStudio,FlexileStudio,10167,5996,0,4.5,774,26,0
,,,,,,,,,,
Slime Rancher,95,Monomi Park,Monomi Park,958010,891796,65431,24.81,40,65.33,220.02
,,,,,,,,,,
The Solus Project,49,"Hourences, Grip Games",Teotl Studios,139685,113166,1838,4.29,43,74.44,813.31
,,,,,,,,,,
Tom Clancy's Ghost Recon Wildlands,35,"Ubisoft Paris, Ubisoft Annecy, Ubisoft Bucharest, Ubisoft Montpellier, Ubisoft Milan, Reflections, Ubisoft Belgrade",Ubisoft,825583,804728,149111,2.95,42,59.5,3.06
,,,,,,,,,,
Powernaut VANGARDT,,Alex Hall,Alex Hall,2384,1589,0,0,226,54,0
,,,,,,,,,,
Turn Around,3,"Limed, lalalaZero, Urbanoff",Limed,462191,359742,4953,0.56,108,80.33,100.15
,,,,,,,,,,
Tactics Forever,,ProjectorGames,ProjectorGames,785,785,0,0,-1,0,-1
,,,,,,,,,,
Raptor: Call of The Shadows - 2015 Edition,39,DotEmu,DotEmu,27632,15902,0,3.29,79,202.4,1458.63
,,,,,,,,,,
Rozkol,9,Nuostak,"LEVER Software, Enjoy Games",25286,21376,785,1,110,55.33,3.7
,,,,,,,,,,
The Charnel House Trilogy,51,Owl Cave,Owl Cave,43323,24419,0,4.59,43,61.25,1.72
,,,,,,,,,,
The Dishwasher: Vampire Smile,95,Ska Studios,Ska Studios,14077,9906,1961,29.89,107,0,-1
,,,,,,,,,,
Delta Force,82,NovaLogic,"NovaLogic, THQ Nordic",28675,14598,781,11.71,42,121.48,210.73
,,,,,,,,,,
Isaac the Adventurer,12,"Artisiti, Studio Vrtinec",Artisiti,13556,1564,0,1.25,137,93.6,60.52
,,,,,,,,,,
Super Sky Arena,59,Hammer Labs,"Hammer Labs, Deck13",1569,1176,0,5.8,226,105.67,480.02
,,,,,,,,,,
Red Risk,16,Microblast Games,Microblast Games,204802,171456,2101,1.53,88,75.12,50.63
,,,,,,,,,,
Amnesia: A Machine for Pigs,22,The Chinese Room,Frictional Games,2295313,357396,71688,1.91,106,49.29,20.63
,,,,,,,,,,
Kingpin  Life of Crime,51,Xatrix Entertainment,Interplay Inc.,15902,11470,785,4.66,45,68.89,383.43
,,,,,,,,,,
PATHOS,,Broguelike,Accordion Games,3151,1589,0,0,-1,0,-1
